2025-05-19 13:25:54.321132 | user1 | HELO | 500
2025-05-19 13:25:59.986544 | user1 | PASS | 525
2025-05-19 13:26:01.991176 | user1 | BALA | AMNT:10000.0
2025-05-19 13:26:44.000760 | user1 | HELO | 500
2025-05-19 13:26:57.806755 | user1 | PASS | 525
2025-05-19 13:32:06.794157 | user1 | HELO | 500
2025-05-19 13:32:10.963402 | user1 | PASS | 525
2025-05-19 13:32:17.010350 | user1 | WDRA | 525
2025-05-19 13:32:17.019444 | user1 | BALA | AMNT:9900.0
2025-05-19 13:32:20.306133 | user1 | BYE | BYE
2025-05-19 13:41:20.990575 | user1 | HELO | 500
2025-05-19 13:41:51.651939 | user1 | PASS | 525
2025-05-19 13:42:12.331661 | user1 | BALA | AMNT:9900.0
2025-05-19 13:42:55.288337 | user1 | WDRA | 525
2025-05-19 13:42:55.300415 | user1 | BALA | AMNT:9400.0
2025-05-19 13:46:06.935040 | user1 | BYE | BYE
2025-05-19 20:59:30.119173 | user1 | HELO | 500
2025-05-19 21:02:31.592705 | user1 | HELO | 500
2025-05-19 21:02:36.356902 | user1 | PASS | 525
2025-05-19 21:05:53.450400 | user1 | WDRA | 525
2025-05-19 21:05:53.457443 | user1 | BALA | AMNT:8400.0
2025-05-19 21:06:59.087540 | user1 | BALA | AMNT:8400.0
2025-05-19 21:07:23.522640 | user1 | WDRA | 525
2025-05-19 21:07:23.528281 | user1 | BALA | AMNT:7400.0
2025-05-19 21:12:41.493587 | user1 | BYE | BYE
2025-05-19 21:14:43.271512 | user | HELO | 401
2025-05-19 21:15:46.816481 | uer1 | HELO | 401
2025-05-19 21:16:03.351387 | user1 | HELO | 500
2025-05-19 21:16:07.481443 | user1 | PASS | 401
2025-05-19 21:17:32.762236 | user1 | HELO | 500
2025-05-19 21:17:35.907418 | user1 | PASS | 525
2025-05-19 21:17:40.489466 | user1 | WDRA | 401
2025-05-19 21:33:27.554955 | user1 | HELO | 500
2025-05-19 21:33:29.643089 | user1 | HELO | 500
2025-05-19 21:33:47.376677 | user1 | HELO | 500
2025-05-19 21:34:26.409991 | user1 | HELO | 500
2025-05-19 21:34:41.697357 | user1 | HELO | 500
2025-05-19 21:35:03.580335 | user1 | HELO | 500
2025-05-19 21:53:21.928704 | user1 | HELO | 500 AUTH REQUIRE
2025-05-19 21:54:31.944334 | user1 | HELO | 500 AUTH REQUIRE
2025-05-19 21:54:31.961446 | user1 | PASS | 525 OK!
2025-05-19 21:54:38.873351 | user1 | HELO | 500 AUTH REQUIRE
2025-05-19 21:54:38.887356 | user1 | PASS | 525 OK!
2025-05-19 21:56:48.233834 | user1 | HELO | 500 AUTH REQUIRE
2025-05-19 21:56:48.247595 | user1 | PASS | 525 OK!
2025-05-19 22:00:43.523549 | user1 | HELO | 500 AUTH REQUIRE
2025-05-19 22:00:43.679563 | user1 | PASS | 525 OK!
2025-05-19 22:01:15.973173 | admin | HELO | 500 AUTH REQUIRE
2025-05-19 22:01:16.023793 | admin | PASS | 525 OK!
2025-05-19 22:15:31.339856 | user1 | HELO | 500 AUTH REQUIRE
2025-05-19 22:15:31.362921 | user1 | PASS | 525 OK!
2025-05-19 22:18:23.803019 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:18:23.814934 | user | PASS | 525 OK!
2025-05-19 22:22:30.297259 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:22:30.304326 | user | PASS | 525 OK!
2025-05-19 22:22:32.074501 | user | BALA | AMNT:500.0
2025-05-19 22:22:36.452996 | user | WDRA | 525 OK!
2025-05-19 22:23:59.515755 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:23:59.534646 | user | PASS | 525 OK!
2025-05-19 22:24:20.069896 | user | BALA | AMNT:500.0
2025-05-19 22:24:55.549778 | user | WDRA | 525 OK!
2025-05-19 22:25:32.574212 | user | WDRA | 525 OK!
2025-05-19 22:25:34.507370 | user | BYE | BYE
2025-05-19 22:25:43.680555 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:25:43.695342 | user | PASS | 525 OK!
2025-05-19 22:25:48.506253 | user | WDRA | 525 OK!
2025-05-19 22:26:03.216413 | user | BYE | BYE
2025-05-19 22:33:21.572787 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:33:21.583479 | user | PASS | 525 OK!
2025-05-19 22:33:29.114930 | user | BALA | AMNT:500.0
2025-05-19 22:35:46.775882 | user | WDRA | 525 OK!
2025-05-19 22:35:55.404001 | user | BALA | AMNT:200.0
2025-05-19 22:36:48.361083 | user | WDRA | 401 ERROR!
2025-05-19 22:36:58.569120 | user | BYE | BYE
2025-05-19 22:37:56.957568 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:37:56.968344 | user | PASS | 401 ERROR!
2025-05-19 22:38:02.777591 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:38:02.783789 | user | PASS | 525 OK!
2025-05-19 22:38:17.752108 | user | HELO | 500 AUTH REQUIRE
2025-05-19 22:38:17.761923 | user | PASS | 525 OK!
